prev_position = 50, move = -40, position = 10, zero_count = 0
prev_position = 10, move = 27, position = 37, zero_count = 0
prev_position = 37, move = 20, position = 57, zero_count = 0
prev_position = 57, move = 12, position = 69, zero_count = 0
prev_position = 69, move = 28, position = 97, zero_count = 0
prev_position = 97, move = -9, position = 88, zero_count = 0
prev_position = 88, move = 31, position = 19, zero_count = 1
prev_position = 19, move = 45, position = 64, zero_count = 1
prev_position = 64, move = -19, position = 45, zero_count = 1
prev_position = 45, move = 2, position = 47, zero_count = 1
prev_position = 47, move = -25, position = 22, zero_count = 1
prev_position = 22, move = -46, position = -24, zero_count = 2
prev_position = -24, move = 1, position = -23, zero_count = 2
prev_position = -23, move = 26, position = 3, zero_count = 3
prev_position = 3, move = -44, position = -41, zero_count = 4
prev_position = -41, move = -27, position = -68, zero_count = 4
prev_position = -68, move = 11, position = -57, zero_count = 4
prev_position = -57, move = 41, position = -16, zero_count = 4
prev_position = -16, move = -11, position = -27, zero_count = 4
prev_position = -27, move = 14, position = -13, zero_count = 4
prev_position = -13, move = 33, position = 20, zero_count = 5
prev_position = 20, move = -2, position = 18, zero_count = 5
prev_position = 18, move = 24, position = 42, zero_count = 5
prev_position = 42, move = -8, position = 34, zero_count = 5
prev_position = 34, move = -31, position = 3, zero_count = 5
prev_position = 3, move = 3, position = 6, zero_count = 5
prev_position = 6, move = 3, position = 9, zero_count = 5
prev_position = 9, move = 17, position = 26, zero_count = 5
prev_position = 26, move = -14, position = 12, zero_count = 5
prev_position = 12, move = -8, position = 4, zero_count = 5
prev_position = 4, move = -16, position = -12, zero_count = 6
prev_position = -12, move = 44, position = 32, zero_count = 7
prev_position = 32, move = -39, position = -7, zero_count = 8
prev_position = -7, move = -7, position = -14, zero_count = 8
prev_position = -14, move = 2, position = -12, zero_count = 8
prev_position = -12, move = -17, position = -29, zero_count = 8
prev_position = -29, move = -2, position = -31, zero_count = 8
prev_position = -31, move = 33, position = 2, zero_count = 9
prev_position = 2, move = 50, position = 52, zero_count = 9
prev_position = 52, move = -33, position = 19, zero_count = 9
prev_position = 19, move = 45, position = 64, zero_count = 9
prev_position = 64, move = -33, position = 31, zero_count = 9
prev_position = 31, move = -22, position = 9, zero_count = 9
prev_position = 9, move = 35, position = 44, zero_count = 9
prev_position = 44, move = 50, position = 94, zero_count = 9
prev_position = 94, move = -24, position = 70, zero_count = 9
prev_position = 70, move = 47, position = 17, zero_count = 10
prev_position = 17, move = -50, position = -33, zero_count = 11
prev_position = -33, move = -49, position = -82, zero_count = 11
prev_position = -82, move = 14, position = -68, zero_count = 11
prev_position = -68, move = 13, position = -55, zero_count = 11
prev_position = -55, move = 10, position = -45, zero_count = 11
prev_position = -45, move = 45, position = 0, zero_count = 12
prev_position = 0, move = 96, position = 96, zero_count = 12
prev_position = 96, move = 4, position = 0, zero_count = 13
prev_position = 0, move = 29, position = 29, zero_count = 13
prev_position = 29, move = -29, position = 0, zero_count = 14
prev_position = 0, move = -34, position = -34, zero_count = 14
prev_position = -34, move = -66, position = 0, zero_count = 15
prev_position = 0, move = -59, position = -59, zero_count = 15
prev_position = -59, move = -69, position = -28, zero_count = 16
prev_position = -28, move = 18, position = -10, zero_count = 16
prev_position = -10, move = 56, position = 46, zero_count = 17
prev_position = 46, move = 54, position = 0, zero_count = 18
prev_position = 0, move = 5, position = 5, zero_count = 18
prev_position = 5, move = -20, position = -15, zero_count = 19
prev_position = -15, move = 92, position = 77, zero_count = 20
prev_position = 77, move = -38, position = 39, zero_count = 20
prev_position = 39, move = 99, position = 38, zero_count = 21
prev_position = 38, move = 62, position = 0, zero_count = 22
prev_position = 0, move = -87, position = -87, zero_count = 22
prev_position = -87, move = 20, position = -67, zero_count = 22
prev_position = -67, move = 41, position = -26, zero_count = 22
prev_position = -26, move = -97, position = -23, zero_count = 23
prev_position = -23, move = -77, position = 0, zero_count = 24
prev_position = 0, move = -93, position = -93, zero_count = 24
prev_position = -93, move = 85, position = -8, zero_count = 24
prev_position = -8, move = -92, position = 0, zero_count = 25
prev_position = 0, move = 82, position = 82, zero_count = 25
prev_position = 82, move = -82, position = 0, zero_count = 26
prev_position = 0, move = 71, position = 71, zero_count = 26
prev_position = 71, move = 28, position = 99, zero_count = 26
prev_position = 99, move = -94, position = 5, zero_count = 26
prev_position = 5, move = -96, position = -91, zero_count = 27
prev_position = -91, move = 97, position = 6, zero_count = 28
prev_position = 6, move = 10, position = 16, zero_count = 28
prev_position = 16, move = -16, position = 0, zero_count = 29
prev_position = 0, move = -48, position = -48, zero_count = 29
prev_position = -48, move = -52, position = 0, zero_count = 30
prev_position = 0, move = 92, position = 92, zero_count = 30
prev_position = 92, move = -16, position = 76, zero_count = 30
prev_position = 76, move = -44, position = 32, zero_count = 30
prev_position = 32, move = -32, position = 0, zero_count = 31
prev_position = 0, move = 72, position = 72, zero_count = 31
prev_position = 72, move = -10, position = 62, zero_count = 31
prev_position = 62, move = 38, position = 0, zero_count = 32
prev_position = 0, move = -45, position = -45, zero_count = 32
prev_position = -45, move = 17, position = -28, zero_count = 32
prev_position = -28, move = 7, position = -21, zero_count = 32
prev_position = -21, move = 14, position = -7, zero_count = 32
prev_position = -7, move = 7, position = 0, zero_count = 33
prev_position = 0, move = -69, position = -69, zero_count = 33
prev_position = -69, move = -44, position = -13, zero_count = 34
prev_position = -13, move = -87, position = 0, zero_count = 35
prev_position = 0, move = 87, position = 87, zero_count = 35
prev_position = 87, move = -68, position = 19, zero_count = 35
prev_position = 19, move = 24, position = 43, zero_count = 35
prev_position = 43, move = -67, position = -24, zero_count = 36
prev_position = -24, move = 95, position = 71, zero_count = 37
prev_position = 71, move = -60, position = 11, zero_count = 37
prev_position = 11, move = -65, position = -54, zero_count = 38
prev_position = -54, move = -46, position = 0, zero_count = 39
prev_position = 0, move = -603, position = -3, zero_count = 45
prev_position = -3, move = 272, position = 69, zero_count = 48
prev_position = 69, move = -69, position = 0, zero_count = 49
prev_position = 0, move = -93, position = -93, zero_count = 49
prev_position = -93, move = -73, position = -66, zero_count = 50
prev_position = -66, move = 366, position = 0, zero_count = 53
prev_position = 0, move = 76, position = 76, zero_count = 53
prev_position = 76, move = -75, position = 1, zero_count = 53
prev_position = 1, move = 515, position = 16, zero_count = 58
prev_position = 16, move = -96, position = -80, zero_count = 59
prev_position = -80, move = -214, position = -94, zero_count = 61
prev_position = -94, move = -428, position = -22, zero_count = 66
prev_position = -22, move = -55, position = -77, zero_count = 66
prev_position = -77, move = 327, position = 50, zero_count = 69
prev_position = 50, move = 5, position = 55, zero_count = 69
prev_position = 55, move = 10, position = 65, zero_count = 69
prev_position = 65, move = 16, position = 81, zero_count = 69
prev_position = 81, move = 19, position = 0, zero_count = 70
prev_position = 0, move = 176, position = 76, zero_count = 71
prev_position = 76, move = -878, position = -2, zero_count = 80
prev_position = -2, move = -24, position = -26, zero_count = 80
prev_position = -26, move = 59, position = 33, zero_count = 81
prev_position = 33, move = 75, position = 8, zero_count = 82
prev_position = 8, move = -8, position = 0, zero_count = 83
prev_position = 0, move = -720, position = -20, zero_count = 90
prev_position = -20, move = 30, position = 10, zero_count = 91
prev_position = 10, move = -30, position = -20, zero_count = 92
prev_position = -20, move = 87, position = 67, zero_count = 93
prev_position = 67, move = -37, position = 30, zero_count = 93
prev_position = 30, move = 70, position = 0, zero_count = 94
prev_position = 0, move = 96, position = 96, zero_count = 94
prev_position = 96, move = 4, position = 0, zero_count = 95
prev_position = 0, move = -4, position = -4, zero_count = 95
prev_position = -4, move = -23, position = -27, zero_count = 95
prev_position = -27, move = 27, position = 0, zero_count = 96
prev_position = 0, move = 268, position = 68, zero_count = 98
prev_position = 68, move = 64, position = 32, zero_count = 99
prev_position = 32, move = -825, position = -93, zero_count = 107
prev_position = -93, move = -49, position = -42, zero_count = 108
prev_position = -42, move = 942, position = 0, zero_count = 117
prev_position = 0, move = 24, position = 24, zero_count = 117
prev_position = 24, move = -24, position = 0, zero_count = 118
prev_position = 0, move = 90, position = 90, zero_count = 118
prev_position = 90, move = -63, position = 27, zero_count = 118
prev_position = 27, move = -259, position = -32, zero_count = 121
prev_position = -32, move = 76, position = 44, zero_count = 122
prev_position = 44, move = -60, position = -16, zero_count = 123
prev_position = -16, move = 86, position = 70, zero_count = 124
prev_position = 70, move = -5, position = 65, zero_count = 124
prev_position = 65, move = 63, position = 28, zero_count = 125
prev_position = 28, move = -928, position = 0, zero_count = 134
prev_position = 0, move = -95, position = -95, zero_count = 134
prev_position = -95, move = 129, position = 34, zero_count = 135
prev_position = 34, move = 66, position = 0, zero_count = 136
prev_position = 0, move = 85, position = 85, zero_count = 136
prev_position = 85, move = 415, position = 0, zero_count = 141
prev_position = 0, move = 64, position = 64, zero_count = 141
prev_position = 64, move = 178, position = 42, zero_count = 143
prev_position = 42, move = 92, position = 34, zero_count = 144
prev_position = 34, move = -64, position = -30, zero_count = 145
prev_position = -30, move = 78, position = 48, zero_count = 146
prev_position = 48, move = 52, position = 0, zero_count = 147
prev_position = 0, move = 30, position = 30, zero_count = 147
prev_position = 30, move = 76, position = 6, zero_count = 148
prev_position = 6, move = -75, position = -69, zero_count = 149
prev_position = -69, move = 92, position = 23, zero_count = 150
prev_position = 23, move = 77, position = 0, zero_count = 151
prev_position = 0, move = 24, position = 24, zero_count = 151
prev_position = 24, move = -38, position = -14, zero_count = 152
prev_position = -14, move = 14, position = 0, zero_count = 153
prev_position = 0, move = 396, position = 96, zero_count = 156
prev_position = 96, move = -96, position = 0, zero_count = 157
prev_position = 0, move = 11, position = 11, zero_count = 157
prev_position = 11, move = 22, position = 33, zero_count = 157
prev_position = 33, move = -270, position = -37, zero_count = 160
prev_position = -37, move = 89, position = 52, zero_count = 161
prev_position = 52, move = 148, position = 0, zero_count = 163
